,horodatage_local,poste,heure,jour,mois,jour_semaine,temperature_ext,humidite,vitesse_vent,neige,irradiance_solaire,heure_sin,heure_cos,mois_sin,mois_cos,jour_semaine_sin,jour_semaine_cos,est_weekend,est_ferie,clients_connectes,tstats_intelligents_connectes,evenement_pointe,energie_kwh,energie_lag1,energie_lag24,degre_jour_chauffage,degre_jour_clim,indice_temp_cons,indice_temp_client,facteur_eolien
19,2024-02-02 09:00:00+00:00,C,4,2,2,6,-0.400000006,99,3.470000029,0.0,0.0,0.866025404,0.5,0.866025404,0.5,-0.781831482,0.623489802,0,0,104,658,0,182.0001139,155.9193022,238.43076251721953,18.400000006,0.0,1354.2400008831999,140840.9600918528,4699.2128423376635
20,2024-02-02 10:00:00+00:00,C,5,2,2,6,-1.100000024,99,3.5,0.0,0.0,0.965925826,0.258819045,0.866025404,0.5,-0.781831482,0.623489802,0,0,104,658,0,203.7445569,182.0001139,242.07233963946996,19.100000024,0.0,1459.2400036672,151760.9603813888,5107.3400128352
21,2024-02-02 10:00:00+00:00,B,5,2,2,6,-1.100000024,99,3.5,0.0,0.0,0.965925826,0.258819045,0.866025404,0.5,-0.781831482,0.623489802,0,0,38,256,0,87.07699525,100.110316,105.613993597499,19.100000024,0.0,1459.2400036672,55451.120139353596,5107.3400128352
22,2024-02-02 12:00:00+00:00,B,7,2,2,6,-1.899999976,92,4.25,0.0,0.0,0.965925826,-0.258819045,0.866025404,0.5,-0.781831482,0.623489802,0,0,38,256,0,119.0905614,87.07699525,106.62381416673905,19.899999976,0.0,1584.0399961792,60193.5198548096,6732.1699837616
23,2024-02-02 15:00:00+00:00,C,10,2,2,6,-2.0,88,6.199999809,0.0,115.0,0.5,-0.866025404,0.866025404,0.5,-0.781831482,0.623489802,0,0,104,658,0,282.9882548,203.7445569,240.11151501954345,20.0,0.0,1600.0,166400.0,9919.999694400001
24,2024-02-02 15:00:00+00:00,B,10,2,2,6,-2.0,88,6.199999809,0.0,115.0,0.5,-0.866025404,0.866025404,0.5,-0.781831482,0.623489802,0,0,38,256,0,108.6000944,119.0905614,108.27648121718556,20.0,0.0,1600.0,60800.0,9919.999694400001
25,2024-02-02 18:00:00+00:00,C,13,2,2,6,-2.099999905,84,3.369999886,0.0,134.0,-0.258819045,-0.965925826,0.866025404,0.5,-0.781831482,0.623489802,0,0,104,658,0,239.7229537,282.9882548,239.20440304956685,20.099999905,0.0,1616.039984724,168068.158411296,5446.054564291322
26,2024-02-02 18:00:00+00:00,B,13,2,2,6,-2.099999905,84,3.369999886,0.0,134.0,-0.258819045,-0.965925826,0.866025404,0.5,-0.781831482,0.623489802,0,0,37,251,0,105.7411079,108.6000944,111.27686290993823,20.099999905,0.0,1616.039984724,59793.479434788,5446.054564291322
27,2024-02-02 19:00:00+00:00,C,14,2,2,6,-1.899999976,85,3.579999924,0.0,121.0,-0.5,-0.866025404,0.866025404,0.5,-0.781831482,0.623489802,0,0,104,658,0,242.2834677,239.7229537,234.42057289027844,19.899999976,0.0,1584.0399961792,164740.1596026368,5670.863065934496
28,2024-02-02 19:00:00+00:00,B,14,2,2,6,-1.899999976,85,3.579999924,0.0,121.0,-0.5,-0.866025404,0.866025404,0.5,-0.781831482,0.623489802,0,0,38,256,0,108.4073854,105.7411079,114.16499075116734,19.899999976,0.0,1584.0399961792,60193.5198548096,5670.863065934496
29,2024-02-02 20:00:00+00:00,C,15,2,2,6,-2.599999905,89,2.859999895,0.0,96.0,-0.707106781,-0.707106781,0.866025404,0.5,-0.781831482,0.623489802,0,0,104,658,0,264.3624345,242.2834677,229.7285345175021,20.599999905,0.0,1697.439984344,176533.758371776,4854.678176992642
31,2024-02-02 22:00:00+00:00,C,17,2,2,6,-3.299999952,88,1.460000038,0.0,0.0,-0.965925826,-0.258819045,0.866025404,0.5,-0.781831482,0.623489802,0,0,104,658,0,325.7263066,264.3624345,223.52812674499864,21.299999952,0.0,1814.7599918208,188735.0391493632,2649.5496570192477
30,2024-02-02 22:00:00+00:00,B,17,2,2,6,-3.299999952,88,1.460000038,0.0,0.0,-0.965925826,-0.258819045,0.866025404,0.5,-0.781831482,0.623489802,0,0,38,256,0,154.2638603,108.4073854,113.53546413208404,21.299999952,0.0,1814.7599918208,68960.8796891904,2649.5496570192477
33,2024-02-03 00:00:00+00:00,C,19,2,2,6,-3.900000095,86,2.789999962,0.0,0.0,-0.965925826,0.258819045,0.866025404,0.5,-0.781831482,0.623489802,0,0,104,658,0,316.0164221,325.7263066,217.66325610045502,21.900000095,0.0,1918.440016644,199517.761730976,5352.447573536039
32,2024-02-03 00:00:00+00:00,B,19,2,2,6,-3.900000095,86,2.789999962,0.0,0.0,-0.965925826,0.258819045,0.866025404,0.5,-0.781831482,0.623489802,0,0,38,256,0,150.9577358,154.2638603,113.26253021909667,21.900000095,0.0,1918.440016644,72900.720632472,5352.447573536039
34,2024-02-03 01:00:00+00:00,B,20,2,2,6,-3.900000095,78,3.799999952,0.0,0.0,-0.866025404,0.5,0.866025404,0.5,-0.781831482,0.623489802,0,0,38,256,0,137.2818773,150.9577358,111.33748440647813,21.900000095,0.0,1918.440016644,72900.720632472,7290.071971162079
35,2024-02-03 01:00:00+00:00,C,20,2,2,6,-3.900000095,78,3.799999952,0.0,0.0,-0.866025404,0.5,0.866025404,0.5,-0.781831482,0.623489802,0,0,104,658,0,293.7352149,316.0164221,213.0646763813704,21.900000095,0.0,1918.440016644,199517.761730976,7290.071971162079
36,2024-02-03 03:00:00+00:00,B,22,2,2,6,-4.699999809,80,3.089999914,0.0,0.0,-0.5,0.866025404,0.866025404,0.5,-0.781831482,0.623489802,0,0,38,256,0,105.2675904,137.2818773,109.36774363611741,22.699999809,0.0,2061.1599653144003,78324.07868194721,6368.98411556174
37,2024-02-03 06:00:00+00:00,B,1,3,2,7,-7.300000191,81,2.710000038,0.0,0.0,0.258819045,0.965925826,0.866025404,0.5,-2.45e-16,1.0,1,0,38,256,0,97.45102033,105.2675904,107.67425483936019,25.300000191,0.0,2560.3600386584,97293.6814690192,6938.575802057945
38,2024-02-03 09:00:00+00:00,C,4,3,2,7,-8.199999809,83,2.460000038,0.0,0.0,0.866025404,0.5,0.866025404,0.5,-2.45e-16,1.0,1,0,104,658,0,216.1787497,293.7352149,232.86495598005493,26.199999808999998,0.0,2745.7599599663995,285559.0358365055,6754.569605856222
40,2024-02-03 13:00:00+00:00,C,8,3,2,7,-8.800000191,87,1.450000048,0.0,49.0,0.866025404,-0.5,0.866025404,0.5,-2.45e-16,1.0,1,0,104,658,0,340.7648377,216.1787497,241.33795999802066,26.800000191000002,0.0,2872.9600409504005,298787.84425884165,4165.792197280162
39,2024-02-03 13:00:00+00:00,B,8,3,2,7,-8.800000191,87,1.450000048,0.0,49.0,0.866025404,-0.5,0.866025404,0.5,-2.45e-16,1.0,1,0,38,256,0,133.6155592,97.45102033,111.96891031883932,26.800000191000002,0.0,2872.9600409504005,109172.48155611522,4165.792197280162
41,2024-02-03 15:00:00+00:00,C,10,3,2,7,-6.5,89,0.99000001,0.0,176.0,0.5,-0.866025404,0.866025404,0.5,-2.45e-16,1.0,1,0,104,658,0,344.9248672,340.7648377,248.13150037970388,24.5,0.0,2401.0,249704.0,2376.99002401
42,2024-02-03 17:00:00+00:00,C,12,3,2,7,-4.800000191,70,1.539999962,0.0,326.0,1.22e-16,-1.0,0.866025404,0.5,-2.45e-16,1.0,1,0,104,658,0,335.4426986,344.9248672,257.63280055571687,22.800000191,0.0,2079.3600348383998,216253.44362319357,3202.2143746354545
43,2024-02-03 17:00:00+00:00,B,12,3,2,7,-4.800000191,70,1.539999962,0.0,326.0,1.22e-16,-1.0,0.866025404,0.5,-2.45e-16,1.0,1,0,38,256,0,137.7961024,133.6155592,114.15363794567523,22.800000191,0.0,2079.3600348383998,79015.68132385919,3202.2143746354545
45,2024-02-03 18:00:00+00:00,C,13,3,2,7,-3.900000095,79,1.049999952,0.0,135.0,-0.258819045,-0.965925826,0.866025404,0.5,-2.45e-16,1.0,1,0,104,658,0,302.7252154,335.4426986,264.65827191909204,21.900000095,0.0,1918.440016644,199517.761730976,2014.3619253910795
44,2024-02-03 18:00:00+00:00,B,13,3,2,7,-3.900000095,79,1.049999952,0.0,135.0,-0.258819045,-0.965925826,0.866025404,0.5,-2.45e-16,1.0,1,0,38,256,0,134.4029061,137.7961024,118.20783309662315,21.900000095,0.0,1918.440016644,72900.720632472,2014.3619253910795
46,2024-02-03 19:00:00+00:00,B,14,3,2,7,-3.799999952,82,1.129999995,0.0,121.0,-0.5,-0.866025404,0.866025404,0.5,-2.45e-16,1.0,1,0,38,256,0,122.2706206,134.4029061,120.84919306681314,21.799999952,0.0,1900.9599916288,72236.4796818944,2148.084781035744
47,2024-02-03 23:00:00+00:00,C,18,3,2,7,-4.5,76,0.529999971,0.0,0.0,-1.0,-1.84e-16,0.866025404,0.5,-2.45e-16,1.0,1,0,104,658,0,351.017506,302.7252154,279.1984391905254,22.5,0.0,2025.0,210600.0,1073.2499412749999
48,2024-02-04 00:00:00+00:00,B,19,3,2,7,-5.699999809,83,2.190000057,0.0,0.0,-0.965925826,0.258819045,0.866025404,0.5,-2.45e-16,1.0,1,0,38,256,0,134.3025957,122.2706206,129.3028217789255,23.699999809,0.0,2246.7599637864005,85376.87862388321,4920.404448757536
49,2024-02-04 01:00:00+00:00,C,20,3,2,7,-5.5,76,0.910000026,0.0,0.0,-0.866025404,0.5,0.866025404,0.5,-2.45e-16,1.0,1,0,104,658,0,325.1738668,351.017506,287.08697125425397,23.5,0.0,2209.0,229736.0,2010.190057434
50,2024-02-04 02:00:00+00:00,B,21,3,2,7,-6.699999809,77,1.070000052,0.0,0.0,-0.707106781,0.707106781,0.866025404,0.5,-2.45e-16,1.0,1,0,38,256,0,125.5163845,134.3025957,131.15734095988103,24.699999809,0.0,2440.3599622584,92733.67856581921,2611.185286515206
52,2024-02-04 04:00:00+00:00,C,23,3,2,7,-9.0,84,0.280000001,0.0,0.0,-0.258819045,0.965925826,0.866025404,0.5,-2.45e-16,1.0,1,0,104,658,0,230.3104994,325.1738668,292.7157034656638,27.0,0.0,2916.0,303264.0,816.480002916
51,2024-02-04 04:00:00+00:00,B,23,3,2,7,-9.0,84,0.280000001,0.0,0.0,-0.258819045,0.965925826,0.866025404,0.5,-2.45e-16,1.0,1,0,38,256,0,104.1502295,125.5163845,125.16183445133345,27.0,0.0,2916.0,110808.0,816.480002916
53,2024-02-04 05:00:00+00:00,C,0,4,2,1,-11.10000038,92,1.25,0.0,0.0,0.0,1.0,0.866025404,0.5,0.781831482,0.623489802,1,0,104,658,0,211.7081668,230.3104994,292.05074606532065,29.10000038,0.0,3387.2400884640006,352272.96920025605,4234.05011058
54,2024-02-04 07:00:00+00:00,C,2,4,2,1,-12.69999981,89,0.25,0.0,0.0,0.5,0.866025404,0.866025404,0.5,0.781831482,0.623489802,1,0,104,658,0,194.3240358,211.7081668,291.3383963244965,30.69999981,0.0,3769.9599533360006,392075.83514694404,942.4899883340001
55,2024-02-04 09:00:00+00:00,C,4,4,2,1,-14.30000019,89,1.24000001,0.0,0.0,0.866025404,0.5,0.866025404,0.5,0.781831482,0.623489802,1,0,104,658,0,224.9569793,194.3240358,289.6108262302028,32.30000019,0.0,4173.160049096,434008.645105984,5174.71850261064
56,2024-02-04 13:00:00+00:00,C,8,4,2,1,-13.39999962,84,1.269999981,0.0,71.0,0.866025404,-0.5,0.866025404,0.5,0.781831482,0.623489802,1,0,104,658,0,369.7996888,224.9569793,310.7983003791436,31.39999962,0.0,3943.8399045440005,410159.3500725761,5008.676603837923
57,2024-02-04 17:00:00+00:00,C,12,4,2,1,-5.599999905,85,1.370000005,0.0,398.0,1.22e-16,-1.0,0.866025404,0.5,0.781831482,0.623489802,1,0,104,658,0,295.5880245,369.7996888,315.04564668703324,23.599999905,0.0,2227.839982064,231695.358134656,3052.1407865668803
58,2024-02-04 18:00:00+00:00,B,13,4,2,1,-3.599999905,75,1.470000029,0.0,439.0,-0.258819045,-0.965925826,0.866025404,0.5,0.781831482,0.623489802,1,0,38,256,0,131.5026707,104.1502295,123.3614390498031,21.599999905,0.0,1866.2399835840001,70917.119376192,2743.3728299894397
59,2024-02-04 19:00:00+00:00,C,14,4,2,1,-3.0,80,0.899999976,0.0,368.0,-0.5,-0.866025404,0.866025404,0.5,0.781831482,0.623489802,1,0,104,658,0,261.3815657,295.5880245,312.66210079600694,21.0,0.0,1764.0,183456.0,1587.5999576640002
61,2024-02-04 22:00:00+00:00,B,17,4,2,1,-3.5,84,0.090000004,0.0,0.0,-0.965925826,-0.258819045,0.866025404,0.5,0.781831482,0.623489802,1,0,38,256,0,119.6490149,131.5026707,128.61138411326658,21.5,0.0,1849.0,70262.0,166.410007396
60,2024-02-04 22:00:00+00:00,C,17,4,2,1,-3.5,84,0.090000004,0.0,0.0,-0.965925826,-0.258819045,0.866025404,0.5,0.781831482,0.623489802,1,0,104,658,0,353.1514747,261.3815657,306.7344375674069,21.5,0.0,1849.0,192296.0,166.410007396
62,2024-02-04 23:00:00+00:00,C,18,4,2,1,-5.0,84,0.850000024,0.0,0.0,-1.0,-1.84e-16,0.866025404,0.5,0.781831482,0.623489802,1,0,104,658,0,375.4483149,353.1514747,291.8583902561918,23.0,0.0,2116.0,220064.0,1798.600050784
63,2024-02-05 00:00:00+00:00,B,19,4,2,1,-7.300000191,90,1.50999999,0.0,0.0,-0.965925826,0.258819045,0.866025404,0.5,0.781831482,0.623489802,1,0,38,256,0,135.4443523,119.6490149,128.3450337726337,25.300000191,0.0,2560.3600386584,97293.6814690192,3866.1436327705837
64,2024-02-05 01:00:00+00:00,B,20,4,2,1,-9.0,89,0.239999995,0.0,0.0,-0.866025404,0.5,0.866025404,0.5,0.781831482,0.623489802,1,0,38,256,0,139.1959028,135.4443523,126.78339532350788,27.0,0.0,2916.0,110808.0,699.83998542
65,2024-02-05 03:00:00+00:00,C,22,4,2,1,-10.80000019,87,0.829999983,0.0,0.0,-0.5,0.866025404,0.866025404,0.5,0.781831482,0.623489802,1,0,104,658,0,247.6217133,375.4483149,261.8580506742053,28.80000019,0.0,3317.7600437759997,345047.04455270397,2753.740779932159
66,2024-02-05 05:00:00+00:00,C,0,5,2,2,-12.69999981,93,0.920000017,0.0,0.0,0.0,1.0,0.866025404,0.5,0.974927912,-0.222520934,0,0,104,658,0,210.9208929,247.6217133,255.1385670157321,30.69999981,0.0,3769.9599533360006,392075.83514694404,3468.36322115844
67,2024-02-05 05:00:00+00:00,B,0,5,2,2,-12.69999981,93,0.920000017,0.0,0.0,0.0,1.0,0.866025404,0.5,0.974927912,-0.222520934,0,0,38,256,0,105.8029269,139.1959028,125.93447882905528,30.69999981,0.0,3769.9599533360006,143258.47822676803,3468.36322115844
68,2024-02-05 09:00:00+00:00,C,4,5,2,2,-12.39999962,88,0.469999999,0.0,0.0,0.866025404,0.5,0.866025404,0.5,0.974927912,-0.222520934,0,0,104,658,0,480.491628,210.9208929,253.93943575194388,30.39999962,0.0,3696.6399075840004,384450.55038873607,1737.4207528678403
69,2024-02-05 10:00:00+00:00,C,5,5,2,2,-13.19999981,89,0.589999974,0.0,0.0,0.965925826,0.258819045,0.866025404,0.5,0.974927912,-0.222520934,0,0,104,658,0,431.6746719,480.491628,260.2498876314482,31.19999981,0.0,3893.7599525760006,404951.03506790404,2297.3182707820815
70,2024-02-05 15:00:00+00:00,B,10,5,2,2,-5.900000095,84,2.700000048,0.0,314.0,0.5,-0.866025404,0.866025404,0.5,0.974927912,-0.222520934,0,0,38,256,0,121.408887,105.8029269,122.19341186807287,23.900000095,0.0,2284.840018164,86823.920690232,6169.068158715121
71,2024-02-05 16:00:00+00:00,C,11,5,2,2,-3.099999905,62,1.710000038,0.0,427.0,0.258819045,-0.965925826,0.866025404,0.5,0.974927912,-0.222520934,0,0,104,658,0,337.2199919,431.6746719,291.5383117166371,21.099999905,0.0,1780.839983964,185207.358332256,3045.2364402503595
72,2024-02-05 17:00:00+00:00,C,12,5,2,2,-1.600000024,65,2.579999924,0.0,454.0,1.22e-16,-1.0,0.866025404,0.5,0.974927912,-0.222520934,0,0,104,658,0,267.498627,337.2199919,293.9142621668025,19.600000024,0.0,1536.6400037632,159810.5603913728,3964.5310929244156
73,2024-02-05 20:00:00+00:00,B,15,5,2,2,0.300000012,55,1.730000019,0.0,259.0,-0.707106781,-0.707106781,0.866025404,0.5,0.974927912,-0.222520934,0,0,38,256,0,93.09500708,121.408887,124.75034390531684,17.699999988,0.0,1253.1599983007998,47620.07993543039,2167.9668208704234
74,2024-02-05 21:00:00+00:00,C,16,5,2,2,0.0,56,1.070000052,0.0,118.0,-0.866025404,-0.5,0.866025404,0.5,0.974927912,-0.222520934,0,0,104,658,0,251.4385667,267.498627,300.61246350897085,18.0,0.0,1296.0,134784.0,1386.720067392
75,2024-02-06 00:00:00+00:00,B,19,5,2,2,-4.199999809,63,1.659999967,0.0,0.0,-0.965925826,0.258819045,0.866025404,0.5,0.974927912,-0.222520934,0,0,38,256,0,148.81813,93.09500708,124.8221743336386,22.199999809,0.0,1971.3599660784005,74911.67871097922,3272.457478635266
76,2024-02-06 01:00:00+00:00,B,20,5,2,2,-7.0,64,2.359999895,0.0,0.0,-0.866025404,0.5,0.866025404,0.5,0.974927912,-0.222520934,0,0,38,256,0,151.9258098,148.81813,125.50245864860841,25.0,0.0,2500.0,95000.0,5899.9997375
77,2024-02-06 02:00:00+00:00,C,21,5,2,2,-9.0,76,3.069999933,0.0,0.0,-0.707106781,0.707106781,0.866025404,0.5,0.974927912,-0.222520934,0,0,104,658,0,307.2617143,251.4385667,317.499749834766,27.0,0.0,2916.0,303264.0,8952.119804628
79,2024-02-06 05:00:00+00:00,B,0,6,2,3,-7.0,78,2.210000038,0.0,0.0,0.0,1.0,0.866025404,0.5,0.433883739,-0.900968868,0,0,38,258,0,102.4372653,151.9258098,121.72229748853684,25.0,0.0,2500.0,95000.0,5525.000095
78,2024-02-06 05:00:00+00:00,C,0,6,2,3,-7.0,78,2.210000038,0.0,0.0,0.0,1.0,0.866025404,0.5,0.433883739,-0.900968868,0,0,104,658,0,198.8802069,307.2617143,315.51076813212865,25.0,0.0,2500.0,260000.0,5525.000095
80,2024-02-06 06:00:00+00:00,B,1,6,2,3,-8.100000381,79,2.079999924,0.0,0.0,0.258819045,0.965925826,0.866025404,0.5,0.433883739,-0.900968868,0,0,38,258,0,110.3246732,102.4372653,121.08116072964258,26.100000381,0.0,2724.840079552801,103543.92302300644,5667.66715838198
81,2024-02-06 08:00:00+00:00,C,3,6,2,3,-9.199999809,78,0.980000019,0.0,0.0,0.707106781,0.707106781,0.866025404,0.5,0.433883739,-0.900968868,0,0,104,658,0,302.8931522,198.8802069,317.42657437009456,27.199999808999998,0.0,2959.3599584383996,307773.4356775936,2900.1728154974708
83,2024-02-06 10:00:00+00:00,B,5,6,2,3,-10.19999981,76,1.279999971,0.0,0.0,0.965925826,0.258819045,0.866025404,0.5,0.433883739,-0.900968868,0,0,38,258,0,167.753144,110.3246732,120.63655368237981,28.19999981,0.0,3180.9599571360004,120876.47837116802,4071.628652886242
82,2024-02-06 10:00:00+00:00,C,5,6,2,3,-10.19999981,76,1.279999971,0.0,0.0,0.965925826,0.258819045,0.866025404,0.5,0.433883739,-0.900968868,0,0,104,658,0,429.9871035,302.8931522,351.46050944222384,28.19999981,0.0,3180.9599571360004,330819.835542144,4071.628652886242
84,2024-02-06 12:00:00+00:00,C,7,6,2,3,-12.0,75,0.579999983,0.0,0.0,0.965925826,-0.258819045,0.866025404,0.5,0.433883739,-0.900968868,0,0,104,658,1,133.9247982,429.9871035,351.7344057618153,30.0,0.0,3600.0,374400.0,2087.9999388
85,2024-02-06 12:00:00+00:00,B,7,6,2,3,-12.0,75,0.579999983,0.0,0.0,0.965925826,-0.258819045,0.866025404,0.5,0.433883739,-0.900968868,0,0,38,258,1,83.83457833,167.753144,121.07932718585079,30.0,0.0,3600.0,136800.0,2087.9999388
86,2024-02-06 13:00:00+00:00,C,8,6,2,3,-12.19999981,80,1.230000019,0.0,83.0,0.866025404,-0.5,0.866025404,0.5,0.433883739,-0.900968868,0,0,104,658,1,138.5787631,133.9247982,350.659096878162,30.19999981,0.0,3648.1599540960005,379408.63522598404,4487.23681285312
87,2024-02-06 13:00:00+00:00,B,8,6,2,3,-12.19999981,80,1.230000019,0.0,83.0,0.866025404,-0.5,0.866025404,0.5,0.433883739,-0.900968868,0,0,38,258,1,66.29172224,83.83457833,120.44762472825589,30.19999981,0.0,3648.1599540960005,138630.07825564803,4487.23681285312
88,2024-02-06 15:00:00+00:00,B,10,6,2,3,-5.400000095,72,2.710000038,0.0,350.0,0.5,-0.866025404,0.866025404,0.5,0.433883739,-0.900968868,0,0,38,258,0,145.3028181,66.29172224,123.2511053806381,23.400000095,0.0,2190.240017784,83229.120675792,5935.550531423761
89,2024-02-06 16:00:00+00:00,C,11,6,2,3,-3.599999905,72,3.400000095,0.0,435.0,0.258819045,-0.965925826,0.866025404,0.5,0.433883739,-0.900968868,0,0,104,658,0,343.2411517,138.5787631,328.1151996270738,21.599999905,0.0,1866.2399835840001,194088.958292736,6345.216121478399
90,2024-02-06 21:00:00+00:00,B,16,6,2,3,-1.0,57,1.580000043,0.0,123.0,-0.866025404,-0.5,0.866025404,0.5,0.433883739,-0.900968868,0,0,38,258,0,110.4999139,145.3028181,126.90213216946113,19.0,0.0,1444.0,54872.0,2281.520062092
91,2024-02-06 22:00:00+00:00,B,17,6,2,3,-2.5,63,1.019999981,0.0,10.0,-0.965925826,-0.258819045,0.866025404,0.5,0.433883739,-0.900968868,0,0,38,258,0,139.1962103,110.4999139,127.10480021379693,20.5,0.0,1681.0,63878.0,1714.619968061
