horodatage_local,poste,jour,heure,mois,jour_semaine,temperature_ext,humidite,vitesse_vent,neige,irradiance_solaire,heure_sin,heure_cos,mois_sin,mois_cos,jour_semaine_sin,jour_semaine_cos,est_weekend,est_ferie,clients_connectes,tstats_intelligents_connectes,evenement_pointe,energie_kwh
2022-01-02 05:00:00+00:00,C,2,0,1,1,-2.099999905,69,4.099999905,0.0,0.0,0.0,1.0,0.5,0.866025404,0.781831482,0.623489802,1,0,35,220,0,119.8552267
2022-01-02 06:00:00+00:00,C,2,1,1,1,-3.0,70,3.599999905,0.0,0.0,0.258819045,0.965925826,0.5,0.866025404,0.781831482,0.623489802,1,0,35,220,0,125.1511515
2022-01-02 10:00:00+00:00,C,2,5,1,1,-7.599999905,80,2.599999905,0.0,0.0,0.965925826,0.258819045,0.5,0.866025404,0.781831482,0.623489802,1,0,35,220,0,160.6821144
2022-01-02 11:00:00+00:00,C,2,6,1,1,-7.699999809,63,3.099999905,0.0,0.0,1.0,6.12e-17,0.5,0.866025404,0.781831482,0.623489802,1,0,35,220,0,201.4820266
2022-01-02 14:00:00+00:00,C,2,9,1,1,-9.199999809,67,2.599999905,10.0,56.29000092,0.707106781,-0.707106781,0.5,0.866025404,0.781831482,0.623489802,1,0,35,220,0,264.2383657
2022-01-02 16:00:00+00:00,A,2,11,1,1,-9.5,81,1.5,10.0,80.58999634,0.258819045,-0.965925826,0.5,0.866025404,0.781831482,0.623489802,1,0,17,118,0,128.0315139
2022-01-02 17:00:00+00:00,C,2,12,1,1,-8.5,73,1.5,0.0,83.05999756,1.22e-16,-1.0,0.5,0.866025404,0.781831482,0.623489802,1,0,35,220,0,244.9317452
2022-01-02 17:00:00+00:00,A,2,12,1,1,-8.5,73,1.5,0.0,83.05999756,1.22e-16,-1.0,0.5,0.866025404,0.781831482,0.623489802,1,0,17,118,0,125.6943152
2022-01-02 18:00:00+00:00,C,2,13,1,1,-8.800000191,80,1.0,0.0,80.22000122,-0.258819045,-0.965925826,0.5,0.866025404,0.781831482,0.623489802,1,0,35,220,0,258.0718872
2022-01-02 20:00:00+00:00,A,2,15,1,1,-7.699999809,62,0.5,0.0,54.81000137,-0.707106781,-0.707106781,0.5,0.866025404,0.781831482,0.623489802,1,0,17,118,0,116.1288617
2022-01-02 21:00:00+00:00,C,2,16,1,1,-7.900000095,62,1.0,0.0,21.45000076,-0.866025404,-0.5,0.5,0.866025404,0.781831482,0.623489802,1,0,35,220,0,263.8104637
2022-01-02 22:00:00+00:00,A,2,17,1,1,-7.699999809,57,0.5,0.0,0.0,-0.965925826,-0.258819045,0.5,0.866025404,0.781831482,0.623489802,1,0,17,118,0,124.4978303
2022-01-02 23:00:00+00:00,A,2,18,1,1,-8.100000381,55,2.099999905,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,0.781831482,0.623489802,1,0,17,118,0,128.6795742
2022-01-03 02:00:00+00:00,C,2,21,1,1,-12.80000019,59,2.099999905,0.0,0.0,-0.707106781,0.707106781,0.5,0.866025404,0.781831482,0.623489802,1,0,35,220,0,216.067154
2022-01-03 03:00:00+00:00,A,2,22,1,1,-12.30000019,54,2.599999905,0.0,0.0,-0.5,0.866025404,0.5,0.866025404,0.781831482,0.623489802,1,0,17,118,0,108.7845322
2022-01-03 04:00:00+00:00,C,2,23,1,1,-13.89999962,59,1.0,0.0,0.0,-0.258819045,0.965925826,0.5,0.866025404,0.781831482,0.623489802,1,0,35,220,0,168.436741
2022-01-03 05:00:00+00:00,C,3,0,1,2,-15.69999981,69,2.099999905,0.0,0.0,0.0,1.0,0.5,0.866025404,0.974927912,-0.222520934,0,1,35,221,0,189.4629824
2022-01-03 05:00:00+00:00,A,3,0,1,2,-15.69999981,69,2.099999905,0.0,0.0,0.0,1.0,0.5,0.866025404,0.974927912,-0.222520934,0,1,17,118,0,87.70744833
2022-01-03 06:00:00+00:00,C,3,1,1,2,-15.80000019,66,1.0,0.0,0.0,0.258819045,0.965925826,0.5,0.866025404,0.974927912,-0.222520934,0,1,35,221,0,190.4550085
2022-01-03 08:00:00+00:00,A,3,3,1,2,-21.29999924,79,1.0,0.0,0.0,0.707106781,0.707106781,0.5,0.866025404,0.974927912,-0.222520934,0,1,17,118,0,111.0551707
2022-01-03 12:00:00+00:00,A,3,7,1,2,-21.89999962,81,0.5,0.0,0.0,0.965925826,-0.258819045,0.5,0.866025404,0.974927912,-0.222520934,0,1,17,118,0,69.767135
2022-01-03 16:00:00+00:00,A,3,11,1,2,-15.89999962,49,1.0,0.0,316.6264954,0.258819045,-0.965925826,0.5,0.866025404,0.974927912,-0.222520934,0,1,17,118,0,145.5828809
2022-01-03 18:00:00+00:00,A,3,13,1,2,-14.19999981,45,1.0,0.0,133.3696594,-0.258819045,-0.965925826,0.5,0.866025404,0.974927912,-0.222520934,0,1,17,118,0,157.5719323
2022-01-03 19:00:00+00:00,C,3,14,1,2,-14.80000019,52,1.5,0.0,71.81999969,-0.5,-0.866025404,0.5,0.866025404,0.974927912,-0.222520934,0,1,35,221,0,268.7635082
2022-01-03 20:00:00+00:00,A,3,15,1,2,-14.80000019,58,1.5,0.0,55.24000168,-0.707106781,-0.707106781,0.5,0.866025404,0.974927912,-0.222520934,0,1,17,118,0,227.343565
2022-01-03 22:00:00+00:00,A,3,17,1,2,-17.79999924,72,0.5,0.0,0.0,-0.965925826,-0.258819045,0.5,0.866025404,0.974927912,-0.222520934,0,1,17,118,0,113.6893809
2022-01-03 23:00:00+00:00,A,3,18,1,2,-19.0,82,0.5,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,0.974927912,-0.222520934,0,1,17,118,0,98.96161131
2022-01-04 00:00:00+00:00,A,3,19,1,2,-19.29999924,83,2.400000095,0.0,0.0,-0.965925826,0.258819045,0.5,0.866025404,0.974927912,-0.222520934,0,1,17,118,0,107.1223245
2022-01-04 05:00:00+00:00,A,4,0,1,3,-20.60000038,92,1.0,0.0,0.0,0.0,1.0,0.5,0.866025404,0.433883739,-0.900968868,0,0,17,118,0,116.0329429
2022-01-04 06:00:00+00:00,A,4,1,1,3,-19.5,83,1.0,0.0,0.0,0.258819045,0.965925826,0.5,0.866025404,0.433883739,-0.900968868,0,0,17,118,0,124.5034804
2022-01-04 07:00:00+00:00,A,4,2,1,3,-18.39999962,81,2.099999905,0.0,0.0,0.5,0.866025404,0.5,0.866025404,0.433883739,-0.900968868,0,0,17,118,0,127.5594017
2022-01-04 08:00:00+00:00,C,4,3,1,3,-15.89999962,74,3.099999905,0.0,0.0,0.707106781,0.707106781,0.5,0.866025404,0.433883739,-0.900968868,0,0,37,227,0,293.7370219
2022-01-04 09:00:00+00:00,A,4,4,1,3,-14.69999981,70,2.099999905,0.0,0.0,0.866025404,0.5,0.5,0.866025404,0.433883739,-0.900968868,0,0,17,118,0,200.1628596
2022-01-04 10:00:00+00:00,C,4,5,1,3,-13.60000038,71,2.099999905,0.0,0.0,0.965925826,0.258819045,0.5,0.866025404,0.433883739,-0.900968868,0,0,37,227,0,358.5294106
2022-01-04 10:00:00+00:00,A,4,5,1,3,-13.60000038,71,2.099999905,0.0,0.0,0.965925826,0.258819045,0.5,0.866025404,0.433883739,-0.900968868,0,0,17,118,0,187.5347928
2022-01-04 13:00:00+00:00,C,4,8,1,3,-11.5,73,2.099999905,0.0,24.95000076,0.866025404,-0.5,0.5,0.866025404,0.433883739,-0.900968868,0,0,37,227,0,189.8596017
2022-01-04 14:00:00+00:00,C,4,9,1,3,-11.80000019,83,1.5,0.0,56.47999954,0.707106781,-0.707106781,0.5,0.866025404,0.433883739,-0.900968868,0,0,37,227,0,230.7420557
2022-01-04 16:00:00+00:00,C,4,11,1,3,-10.30000019,78,1.0,0.0,80.88999939,0.258819045,-0.965925826,0.5,0.866025404,0.433883739,-0.900968868,0,0,37,227,0,341.4323928
2022-01-04 17:00:00+00:00,C,4,12,1,3,-9.600000381,77,0.5,0.0,83.44000244,1.22e-16,-1.0,0.5,0.866025404,0.433883739,-0.900968868,0,0,37,227,0,337.2578681
2022-01-04 18:00:00+00:00,C,4,13,1,3,-8.300000191,73,1.0,0.0,80.69000244,-0.258819045,-0.965925826,0.5,0.866025404,0.433883739,-0.900968868,0,0,37,227,0,336.2427589
2022-01-04 18:00:00+00:00,A,4,13,1,3,-8.300000191,73,1.0,0.0,80.69000244,-0.258819045,-0.965925826,0.5,0.866025404,0.433883739,-0.900968868,0,0,17,118,0,159.4249167
2022-01-04 20:00:00+00:00,A,4,15,1,3,-7.0,77,0.5,0.0,55.68000031,-0.707106781,-0.707106781,0.5,0.866025404,0.433883739,-0.900968868,0,0,17,118,0,201.8829861
2022-01-04 20:00:00+00:00,C,4,15,1,3,-7.0,77,0.5,0.0,55.68000031,-0.707106781,-0.707106781,0.5,0.866025404,0.433883739,-0.900968868,0,0,37,227,0,442.8218072
2022-01-04 21:00:00+00:00,C,4,16,1,3,-6.900000095,78,0.5,5.0,23.17000008,-0.866025404,-0.5,0.5,0.866025404,0.433883739,-0.900968868,0,0,37,227,0,362.5348208
2022-01-04 23:00:00+00:00,A,4,18,1,3,-6.699999809,83,2.400000095,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,0.433883739,-0.900968868,0,0,17,118,0,80.83920959
2022-01-05 00:00:00+00:00,A,4,19,1,3,-6.599999905,85,1.5,0.0,0.0,-0.965925826,0.258819045,0.5,0.866025404,0.433883739,-0.900968868,0,0,17,118,0,76.47868333
2022-01-05 00:00:00+00:00,C,4,19,1,3,-6.599999905,85,1.5,0.0,0.0,-0.965925826,0.258819045,0.5,0.866025404,0.433883739,-0.900968868,0,0,37,227,0,157.2280097
2022-01-05 02:00:00+00:00,A,4,21,1,3,-6.199999809,86,0.5,0.0,0.0,-0.707106781,0.707106781,0.5,0.866025404,0.433883739,-0.900968868,0,0,17,118,0,184.4386774
2022-01-05 02:00:00+00:00,C,4,21,1,3,-6.199999809,86,0.5,0.0,0.0,-0.707106781,0.707106781,0.5,0.866025404,0.433883739,-0.900968868,0,0,37,227,0,325.5886621
2022-01-05 04:00:00+00:00,A,4,23,1,3,-5.900000095,87,0.5,0.0,0.0,-0.258819045,0.965925826,0.5,0.866025404,0.433883739,-0.900968868,0,0,17,118,0,104.8298571
2022-01-05 04:00:00+00:00,C,4,23,1,3,-5.900000095,87,0.5,0.0,0.0,-0.258819045,0.965925826,0.5,0.866025404,0.433883739,-0.900968868,0,0,37,227,0,236.9198378
2022-01-05 06:00:00+00:00,A,5,1,1,4,-3.700000048,77,2.599999905,0.0,0.0,0.258819045,0.965925826,0.5,0.866025404,-0.433883739,-0.900968868,0,0,18,119,0,79.05685724
2022-01-05 07:00:00+00:00,A,5,2,1,4,-4.199999809,77,0.5,0.0,0.0,0.5,0.866025404,0.5,0.866025404,-0.433883739,-0.900968868,0,0,18,119,0,77.92374063
2022-01-05 07:00:00+00:00,C,5,2,1,4,-4.199999809,77,0.5,0.0,0.0,0.5,0.866025404,0.5,0.866025404,-0.433883739,-0.900968868,0,0,38,230,0,200.5292489
2022-01-05 08:00:00+00:00,A,5,3,1,4,-6.800000191,84,1.5,0.0,0.0,0.707106781,0.707106781,0.5,0.866025404,-0.433883739,-0.900968868,0,0,18,119,0,78.30746503
2022-01-05 10:00:00+00:00,A,5,5,1,4,-8.0,88,2.099999905,5.0,0.0,0.965925826,0.258819045,0.5,0.866025404,-0.433883739,-0.900968868,0,0,18,119,0,121.859205
2022-01-05 12:00:00+00:00,C,5,7,1,4,-8.399999619,91,2.599999905,80.0,0.0,0.965925826,-0.258819045,0.5,0.866025404,-0.433883739,-0.900968868,0,0,38,230,0,289.7253731
2022-01-05 13:00:00+00:00,A,5,8,1,4,-8.0,91,2.099999905,105.0,25.06999969,0.866025404,-0.5,0.5,0.866025404,-0.433883739,-0.900968868,0,0,18,119,0,142.8775399
2022-01-05 14:00:00+00:00,A,5,9,1,4,-8.199999809,89,2.099999905,5.0,56.61000061,0.707106781,-0.707106781,0.5,0.866025404,-0.433883739,-0.900968868,0,0,18,119,0,125.2846201
2022-01-05 16:00:00+00:00,C,5,11,1,4,-6.199999809,82,2.599999905,0.0,81.05999756,0.258819045,-0.965925826,0.5,0.866025404,-0.433883739,-0.900968868,0,0,38,230,0,227.323649
2022-01-05 17:00:00+00:00,C,5,12,1,4,-4.0,74,2.099999905,0.0,83.65000153,1.22e-16,-1.0,0.5,0.866025404,-0.433883739,-0.900968868,0,0,38,230,0,219.3362243
2022-01-05 20:00:00+00:00,C,5,15,1,4,-2.099999905,77,1.0,0.0,56.13999939,-0.707106781,-0.707106781,0.5,0.866025404,-0.433883739,-0.900968868,0,0,38,230,0,220.075918
2022-01-05 20:00:00+00:00,A,5,15,1,4,-2.099999905,77,1.0,0.0,56.13999939,-0.707106781,-0.707106781,0.5,0.866025404,-0.433883739,-0.900968868,0,0,18,119,0,92.33870085
2022-01-05 21:00:00+00:00,C,5,16,1,4,-2.5,78,1.600000024,0.0,24.04000092,-0.866025404,-0.5,0.5,0.866025404,-0.433883739,-0.900968868,0,0,38,230,0,250.5065916
2022-01-05 21:00:00+00:00,A,5,16,1,4,-2.5,78,1.600000024,0.0,24.04000092,-0.866025404,-0.5,0.5,0.866025404,-0.433883739,-0.900968868,0,0,18,119,0,98.14862579
2022-01-05 23:00:00+00:00,C,5,18,1,4,-2.700000048,81,1.0,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,-0.433883739,-0.900968868,0,0,38,230,0,300.1780034
2022-01-06 03:00:00+00:00,C,5,22,1,4,-2.400000095,94,0.5,7.5,0.0,-0.5,0.866025404,0.5,0.866025404,-0.433883739,-0.900968868,0,0,38,230,0,199.3020168
2022-01-06 12:00:00+00:00,C,6,7,1,5,-2.599999905,75,6.699999809,0.0,0.0,0.965925826,-0.258819045,0.5,0.866025404,-0.974927912,-0.222520934,0,0,39,233,0,277.124856
2022-01-06 13:00:00+00:00,A,6,8,1,5,-2.700000048,73,5.699999809,0.0,25.22999954,0.866025404,-0.5,0.5,0.866025404,-0.974927912,-0.222520934,0,0,19,123,0,140.5746228
2022-01-06 14:00:00+00:00,C,6,9,1,5,-3.0,73,5.599999905,0.0,91.01959229,0.707106781,-0.707106781,0.5,0.866025404,-0.974927912,-0.222520934,0,0,39,233,0,251.1592728
2022-01-06 15:00:00+00:00,C,6,10,1,5,-3.299999952,73,5.5,0.0,249.7515106,0.5,-0.866025404,0.5,0.866025404,-0.974927912,-0.222520934,0,0,39,233,0,230.5475871
2022-01-06 17:00:00+00:00,C,6,12,1,5,-1.700000048,80,7.269999981,0.0,336.7631226,1.22e-16,-1.0,0.5,0.866025404,-0.974927912,-0.222520934,0,0,39,233,0,228.2835733
2022-01-06 17:00:00+00:00,A,6,12,1,5,-1.700000048,80,7.269999981,0.0,336.7631226,1.22e-16,-1.0,0.5,0.866025404,-0.974927912,-0.222520934,0,0,19,123,0,107.8573064
2022-01-06 18:00:00+00:00,C,6,13,1,5,-1.700000048,76,6.820000172,0.0,81.20999908,-0.258819045,-0.965925826,0.5,0.866025404,-0.974927912,-0.222520934,0,0,39,233,0,199.0996723
2022-01-06 18:00:00+00:00,A,6,13,1,5,-1.700000048,76,6.820000172,0.0,81.20999908,-0.258819045,-0.965925826,0.5,0.866025404,-0.974927912,-0.222520934,0,0,19,123,0,96.79202167
2022-01-06 19:00:00+00:00,C,6,14,1,5,-2.099999905,72,6.340000153,0.0,72.80000305,-0.5,-0.866025404,0.5,0.866025404,-0.974927912,-0.222520934,0,0,39,233,0,203.2169127
2022-01-06 20:00:00+00:00,C,6,15,1,5,-2.400000095,72,4.960000038,0.0,140.5510864,-0.707106781,-0.707106781,0.5,0.866025404,-0.974927912,-0.222520934,0,0,39,233,0,211.6371966
2022-01-06 23:00:00+00:00,C,6,18,1,5,-5.900000095,82,2.579999924,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,-0.974927912,-0.222520934,0,0,39,233,0,277.6608425
2022-01-06 23:00:00+00:00,A,6,18,1,5,-5.900000095,82,2.579999924,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,-0.974927912,-0.222520934,0,0,19,123,0,130.2562517
2022-01-07 00:00:00+00:00,A,6,19,1,5,-6.400000095,79,3.339999914,0.0,0.0,-0.965925826,0.258819045,0.5,0.866025404,-0.974927912,-0.222520934,0,0,19,123,0,112.5274223
2022-01-07 01:00:00+00:00,A,6,20,1,5,-6.900000095,80,2.779999971,0.0,0.0,-0.866025404,0.5,0.5,0.866025404,-0.974927912,-0.222520934,0,0,19,123,0,112.2585671
2022-01-07 02:00:00+00:00,C,6,21,1,5,-7.300000191,82,2.019999981,0.0,0.0,-0.707106781,0.707106781,0.5,0.866025404,-0.974927912,-0.222520934,0,0,39,233,0,218.4274953
2022-01-07 02:00:00+00:00,A,6,21,1,5,-7.300000191,82,2.019999981,0.0,0.0,-0.707106781,0.707106781,0.5,0.866025404,-0.974927912,-0.222520934,0,0,19,123,0,108.2806356
2022-01-07 04:00:00+00:00,C,6,23,1,5,-7.800000191,84,2.309999943,0.0,0.0,-0.258819045,0.965925826,0.5,0.866025404,-0.974927912,-0.222520934,0,0,39,233,0,159.7265184
2022-01-07 05:00:00+00:00,C,7,0,1,6,-8.0,85,2.25999999,0.0,0.0,0.0,1.0,0.5,0.866025404,-0.781831482,0.623489802,0,0,39,235,0,158.9352278
2022-01-07 09:00:00+00:00,A,7,4,1,6,-8.600000381,84,0.400000006,0.0,0.0,0.866025404,0.5,0.5,0.866025404,-0.781831482,0.623489802,0,0,19,127,0,69.59299298
2022-01-07 13:00:00+00:00,C,7,8,1,6,-8.899999619,85,2.769999981,0.0,25.43000031,0.866025404,-0.5,0.5,0.866025404,-0.781831482,0.623489802,0,0,39,235,0,307.0684148
2022-01-07 14:00:00+00:00,A,7,9,1,6,-8.399999619,85,3.0,0.0,56.91999817,0.707106781,-0.707106781,0.5,0.866025404,-0.781831482,0.623489802,0,0,19,127,0,154.3342754
2022-01-07 14:00:00+00:00,C,7,9,1,6,-8.399999619,85,3.0,0.0,56.91999817,0.707106781,-0.707106781,0.5,0.866025404,-0.781831482,0.623489802,0,0,39,235,0,272.1975082
2022-01-07 15:00:00+00:00,A,7,10,1,6,-6.400000095,85,3.359999895,0.0,73.05000305,0.5,-0.866025404,0.5,0.866025404,-0.781831482,0.623489802,0,0,19,127,0,135.57085
2022-01-07 15:00:00+00:00,C,7,10,1,6,-6.400000095,85,3.359999895,0.0,73.05000305,0.5,-0.866025404,0.5,0.866025404,-0.781831482,0.623489802,0,0,39,235,0,279.02733
2022-01-07 16:00:00+00:00,A,7,11,1,6,-5.599999905,82,2.730000019,0.0,81.44000244,0.258819045,-0.965925826,0.5,0.866025404,-0.781831482,0.623489802,0,0,19,127,0,120.0489154
2022-01-07 16:00:00+00:00,C,7,11,1,6,-5.599999905,82,2.730000019,0.0,81.44000244,0.258819045,-0.965925826,0.5,0.866025404,-0.781831482,0.623489802,0,0,39,235,0,486.1717104
2022-01-07 19:00:00+00:00,C,7,14,1,6,-4.699999809,72,1.100000024,0.0,73.15000153,-0.5,-0.866025404,0.5,0.866025404,-0.781831482,0.623489802,0,0,39,235,0,223.9454454
2022-01-07 21:00:00+00:00,A,7,16,1,6,-4.599999905,73,1.789999962,0.0,25.82999992,-0.866025404,-0.5,0.5,0.866025404,-0.781831482,0.623489802,0,0,19,127,0,116.6733794
2022-01-07 21:00:00+00:00,C,7,16,1,6,-4.599999905,73,1.789999962,0.0,25.82999992,-0.866025404,-0.5,0.5,0.866025404,-0.781831482,0.623489802,0,0,39,235,0,245.2599247
2022-01-07 23:00:00+00:00,A,7,18,1,6,-6.300000191,85,1.529999971,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,-0.781831482,0.623489802,0,0,19,127,0,130.6358558
2022-01-07 23:00:00+00:00,C,7,18,1,6,-6.300000191,85,1.529999971,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,-0.781831482,0.623489802,0,0,39,235,0,295.8125603
2022-01-08 00:00:00+00:00,A,7,19,1,6,-7.199999809,75,4.920000076,0.0,0.0,-0.965925826,0.258819045,0.5,0.866025404,-0.781831482,0.623489802,0,0,19,127,0,123.6458107
2022-01-08 00:00:00+00:00,C,7,19,1,6,-7.199999809,75,4.920000076,0.0,0.0,-0.965925826,0.258819045,0.5,0.866025404,-0.781831482,0.623489802,0,0,39,235,0,304.8216114
2022-01-08 01:00:00+00:00,C,7,20,1,6,-6.699999809,71,4.869999886,0.0,0.0,-0.866025404,0.5,0.5,0.866025404,-0.781831482,0.623489802,0,0,39,235,0,290.346279
2022-01-08 01:00:00+00:00,A,7,20,1,6,-6.699999809,71,4.869999886,0.0,0.0,-0.866025404,0.5,0.5,0.866025404,-0.781831482,0.623489802,0,0,19,127,0,112.6775962
2022-01-08 03:00:00+00:00,C,7,22,1,6,-14.5,74,4.139999866,0.0,0.0,-0.5,0.866025404,0.5,0.866025404,-0.781831482,0.623489802,0,0,39,235,0,209.4527856
2022-01-08 03:00:00+00:00,A,7,22,1,6,-14.5,74,4.139999866,0.0,0.0,-0.5,0.866025404,0.5,0.866025404,-0.781831482,0.623489802,0,0,19,127,0,117.0294013
2022-01-08 04:00:00+00:00,A,7,23,1,6,-14.80000019,74,3.920000076,0.0,0.0,-0.258819045,0.965925826,0.5,0.866025404,-0.781831482,0.623489802,0,0,19,127,0,95.76899039
2022-01-08 07:00:00+00:00,C,8,2,1,7,-15.69999981,74,2.200000048,0.0,0.0,0.5,0.866025404,0.5,0.866025404,-2.45e-16,1.0,1,0,40,243,0,272.9097598
2022-01-08 08:00:00+00:00,A,8,3,1,7,-16.0,74,2.099999905,0.0,0.0,0.707106781,0.707106781,0.5,0.866025404,-2.45e-16,1.0,1,0,19,133,0,122.0037498
2022-01-08 10:00:00+00:00,A,8,5,1,7,-18.89999962,71,1.0,0.0,0.0,0.965925826,0.258819045,0.5,0.866025404,-2.45e-16,1.0,1,0,19,133,0,154.9093205
2022-01-08 10:00:00+00:00,C,8,5,1,7,-18.89999962,71,1.0,0.0,0.0,0.965925826,0.258819045,0.5,0.866025404,-2.45e-16,1.0,1,0,40,243,0,387.795651
2022-01-08 13:00:00+00:00,A,8,8,1,7,-21.29999924,72,2.099999905,0.0,26.23999977,0.866025404,-0.5,0.5,0.866025404,-2.45e-16,1.0,1,0,19,133,0,97.02911688
2022-01-08 14:00:00+00:00,A,8,9,1,7,-19.5,66,2.099999905,0.0,144.0299988,0.707106781,-0.707106781,0.5,0.866025404,-2.45e-16,1.0,1,0,19,133,0,107.4499735
2022-01-08 14:00:00+00:00,C,8,9,1,7,-19.5,66,2.099999905,0.0,144.0299988,0.707106781,-0.707106781,0.5,0.866025404,-2.45e-16,1.0,1,0,40,243,0,226.9583803
2022-01-08 15:00:00+00:00,A,8,10,1,7,-17.39999962,59,3.099999905,0.0,252.6999969,0.5,-0.866025404,0.5,0.866025404,-2.45e-16,1.0,1,0,19,133,0,184.1349521
2022-01-08 16:00:00+00:00,C,8,11,1,7,-16.10000038,55,2.599999905,0.0,325.3699341,0.258819045,-0.965925826,0.5,0.866025404,-2.45e-16,1.0,1,0,40,243,0,378.1192206
2022-01-08 16:00:00+00:00,A,8,11,1,7,-16.10000038,55,2.599999905,0.0,325.3699341,0.258819045,-0.965925826,0.5,0.866025404,-2.45e-16,1.0,1,0,19,133,0,165.2221539
2022-01-08 19:00:00+00:00,C,8,14,1,7,-13.0,52,2.599999905,0.0,207.3651581,-0.5,-0.866025404,0.5,0.866025404,-2.45e-16,1.0,1,0,40,243,0,348.5755196
2022-01-08 20:00:00+00:00,A,8,15,1,7,-13.19999981,53,2.099999905,0.0,146.7850037,-0.707106781,-0.707106781,0.5,0.866025404,-2.45e-16,1.0,1,0,19,133,0,219.0949687
2022-01-08 20:00:00+00:00,C,8,15,1,7,-13.19999981,53,2.099999905,0.0,146.7850037,-0.707106781,-0.707106781,0.5,0.866025404,-2.45e-16,1.0,1,0,40,243,0,457.6896383
2022-01-08 21:00:00+00:00,C,8,16,1,7,-14.10000038,59,1.5,0.0,26.73999977,-0.866025404,-0.5,0.5,0.866025404,-2.45e-16,1.0,1,0,40,243,0,430.2200112
2022-01-08 23:00:00+00:00,A,8,18,1,7,-13.60000038,67,2.099999905,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,-2.45e-16,1.0,1,0,19,133,0,78.53461499
2022-01-09 01:00:00+00:00,A,8,20,1,7,-12.69999981,64,1.5,0.0,0.0,-0.866025404,0.5,0.5,0.866025404,-2.45e-16,1.0,1,0,19,133,0,101.8643956
2022-01-09 03:00:00+00:00,C,8,22,1,7,-13.39999962,66,2.099999905,0.0,0.0,-0.5,0.866025404,0.5,0.866025404,-2.45e-16,1.0,1,0,40,243,0,316.8210335
2022-01-09 05:00:00+00:00,C,9,0,1,1,-12.10000038,72,2.099999905,6.25,0.0,0.0,1.0,0.5,0.866025404,0.781831482,0.623489802,1,0,40,243,0,251.2898941
