,horodatage_local,poste,jour,heure,mois,jour_semaine,temperature_ext,humidite,vitesse_vent,neige,irradiance_solaire,heure_sin,heure_cos,mois_sin,mois_cos,jour_semaine_sin,jour_semaine_cos,est_weekend,est_ferie,clients_connectes,tstats_intelligents_connectes,evenement_pointe,energie_kwh,energie_lag1,energie_lag24,degre_jour_chauffage,degre_jour_clim,indice_temp_cons,indice_temp_client,facteur_eolien
1663,2024-01-25 13:00:00+00:00,C,25,8,1,5,-3.799999952,98,0.419999987,0.0,41.0,0.866025404,-0.5,0.5,0.866025404,-0.974927912,-0.222520934,0,0,104,656,0,381.5699329,364.2161389,287.1092740690426,21.799999952,0.0,1900.9599916288,197699.8391293952,798.4031717716161
1664,2024-01-25 17:00:00+00:00,C,25,12,1,5,-0.5,88,0.50999999,0.0,131.0,1.22e-16,-1.0,0.5,0.866025404,-0.974927912,-0.222520934,0,0,104,656,0,314.4483221,381.5699329,287.0610483367949,18.5,0.0,1369.0,142376.0,698.18998631
477,2024-01-25 18:00:00+00:00,B,25,13,1,5,0.200000003,87,0.319999993,0.0,127.0,-0.258819045,-0.965925826,0.5,0.866025404,-0.974927912,-0.222520934,0,0,38,256,0,103.5869621,133.613133,140.3511604266774,17.799999997,0.0,1267.3599995728,48159.6799837664,405.555190991776
478,2024-01-25 19:00:00+00:00,B,25,14,1,5,1.200000048,89,0.479999989,0.0,113.0,-0.5,-0.866025404,0.5,0.866025404,-0.974927912,-0.222520934,0,0,38,256,0,98.23489636,103.5869621,132.586036082346,16.799999952,0.0,1128.9599935488,42900.4797548544,541.9007844848641
1665,2024-01-25 22:00:00+00:00,C,25,17,1,5,0.0,92,0.349999994,0.0,0.0,-0.965925826,-0.258819045,0.5,0.866025404,-0.974927912,-0.222520934,0,0,104,656,0,373.7055562,314.4483221,284.53833137381105,18.0,0.0,1296.0,134784.0,453.59999222399995
479,2024-01-25 22:00:00+00:00,B,25,17,1,5,0.0,92,0.349999994,0.0,0.0,-0.965925826,-0.258819045,0.5,0.866025404,-0.974927912,-0.222520934,0,0,38,256,0,152.9631659,98.23489636,126.09068880107516,18.0,0.0,1296.0,49248.0,453.59999222399995
480,2024-01-26 00:00:00+00:00,B,25,19,1,5,-0.200000003,94,1.409999967,0.0,0.0,-0.965925826,0.258819045,0.5,0.866025404,-0.974927912,-0.222520934,0,0,38,256,0,149.0276189,152.9631659,124.66836183667891,18.200000003,0.0,1324.9600004367999,50348.4800165984,1868.1935568922079
481,2024-01-26 01:00:00+00:00,B,25,20,1,5,0.100000001,97,1.980000019,0.0,0.0,-0.866025404,0.5,0.5,0.866025404,-0.974927912,-0.222520934,0,0,38,256,0,142.7232133,149.0276189,123.17433962261146,17.899999999,0.0,1281.6399998567997,48702.31999455839,2537.6472240676235
1666,2024-01-26 01:00:00+00:00,C,25,20,1,5,0.100000001,97,1.980000019,0.0,0.0,-0.866025404,0.5,0.5,0.866025404,-0.974927912,-0.222520934,0,0,104,656,0,327.1664902,373.7055562,290.65967215383637,17.899999999,0.0,1281.6399998567997,133290.55998510716,2537.6472240676235
1667,2024-01-26 02:00:00+00:00,C,25,21,1,5,0.100000001,93,0.870000005,0.0,0.0,-0.707106781,0.707106781,0.5,0.866025404,-0.974927912,-0.222520934,0,0,104,656,0,290.8333909,327.1664902,295.5211698301787,17.899999999,0.0,1281.6399998567997,133290.55998510716,1115.0268062836158
482,2024-01-26 03:00:00+00:00,B,25,22,1,5,0.200000003,93,2.25,0.0,0.0,-0.5,0.866025404,0.5,0.866025404,-0.974927912,-0.222520934,0,0,38,256,0,113.5425379,142.7232133,124.40308168480365,17.799999997,0.0,1267.3599995728,48159.6799837664,2851.5599990388
483,2024-01-26 04:00:00+00:00,B,25,23,1,5,0.100000001,86,2.309999943,0.0,0.0,-0.258819045,0.965925826,0.5,0.866025404,-0.974927912,-0.222520934,0,0,38,256,0,101.5270313,113.5425379,124.46377955171334,17.899999999,0.0,1281.6399998567997,48702.31999455839,2960.588326615727
484,2024-01-26 07:00:00+00:00,B,26,2,1,6,-0.400000006,89,2.079999924,0.0,0.0,0.5,0.866025404,0.5,0.866025404,-0.781831482,0.623489802,0,0,38,256,0,88.15897714,101.5270313,127.81927026686886,18.400000006,0.0,1354.2400008831999,51461.120033561594,2816.8190989148156
485,2024-01-26 08:00:00+00:00,B,26,3,1,6,-0.400000006,89,2.140000105,0.0,0.0,0.707106781,0.707106781,0.5,0.866025404,-0.781831482,0.623489802,0,0,38,256,0,91.03688507,88.15897714,130.74441592480716,18.400000006,0.0,1354.2400008831999,51461.120033561594,2898.0737440852477
486,2024-01-26 09:00:00+00:00,B,26,4,1,6,-0.699999988,95,4.21999979,0.0,0.0,0.866025404,0.5,0.5,0.866025404,-0.781831482,0.623489802,0,0,38,256,0,88.34574666,91.03688507,130.63477829269314,18.699999988,0.0,1398.7599982047998,53152.879931782394,5902.766898684656
1668,2024-01-26 09:00:00+00:00,C,26,4,1,6,-0.699999988,95,4.21999979,0.0,0.0,0.866025404,0.5,0.5,0.866025404,-0.781831482,0.623489802,0,0,104,656,0,194.2574886,290.8333909,307.626794649508,18.699999988,0.0,1398.7599982047998,145471.03981329917,5902.766898684656
1669,2024-01-26 12:00:00+00:00,C,26,7,1,6,-1.0,97,3.210000038,0.0,0.0,0.965925826,-0.258819045,0.5,0.866025404,-0.781831482,0.623489802,0,0,104,656,0,359.5403515,194.2574886,318.2020350680465,19.0,0.0,1444.0,150176.0,4635.240054872
1670,2024-01-26 13:00:00+00:00,C,26,8,1,6,-0.699999988,99,3.529999971,22.5,49.0,0.866025404,-0.5,0.5,0.866025404,-0.781831482,0.623489802,0,0,104,656,0,323.4510643,359.5403515,324.17753491992244,18.699999988,0.0,1398.7599982047998,145471.03981329917,4937.622753098904
1671,2024-01-26 15:00:00+00:00,C,26,10,1,6,-0.200000003,99,3.670000076,180.0,100.0,0.5,-0.866025404,0.5,0.866025404,-0.781831482,0.623489802,0,0,104,656,0,288.4415733,323.4510643,329.78944305192204,18.200000003,0.0,1324.9600004367999,137795.84004542718,4862.6033023000155
487,2024-01-26 15:00:00+00:00,B,26,10,1,6,-0.200000003,99,3.670000076,180.0,100.0,0.5,-0.866025404,0.5,0.866025404,-0.781831482,0.623489802,0,0,37,245,0,112.5036745,88.34574666,130.49382192561052,18.200000003,0.0,1324.9600004367999,49023.520016161594,4862.6033023000155
488,2024-01-26 16:00:00+00:00,B,26,11,1,6,0.0,99,3.0,45.0,101.0,0.258819045,-0.965925826,0.5,0.866025404,-0.781831482,0.623489802,0,0,37,245,0,113.9073933,112.5036745,128.16065726482958,18.0,0.0,1296.0,47952.0,3888.0
489,2024-01-26 17:00:00+00:00,B,26,12,1,6,0.200000003,97,3.029999971,42.0,113.0,1.22e-16,-1.0,0.5,0.866025404,-0.781831482,0.623489802,0,0,37,245,0,114.259192,113.9073933,125.87343361269978,17.799999997,0.0,1267.3599995728,46892.3199841936,3840.1007619521442
490,2024-01-26 18:00:00+00:00,B,26,13,1,6,0.100000001,96,1.870000005,36.0,147.0,-0.258819045,-0.965925826,0.5,0.866025404,-0.781831482,0.623489802,0,0,37,245,0,107.7650215,114.259192,121.42543071026266,17.899999999,0.0,1281.6399998567997,47420.67999470159,2396.6668061404157
491,2024-01-26 19:00:00+00:00,B,26,14,1,6,-0.100000001,96,4.210000038,18.75,130.0,-0.5,-0.866025404,0.5,0.866025404,-0.781831482,0.623489802,0,0,38,256,0,113.1237862,107.7650215,116.98835315633251,18.100000001,0.0,1310.4400001448003,49796.72000550241,5516.952450406329
1672,2024-01-26 21:00:00+00:00,C,26,16,1,6,-0.200000003,97,3.099999905,0.0,71.0,-0.866025404,-0.5,0.5,0.866025404,-0.781831482,0.623489802,0,0,104,656,0,299.7797353,288.4415733,328.38972765061493,18.200000003,0.0,1324.9600004367999,137795.84004542718,4107.37587548288
1673,2024-01-26 23:00:00+00:00,C,26,18,1,6,-0.300000012,97,3.529999971,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,-0.781831482,0.623489802,0,0,104,656,0,347.6450568,299.7797353,327.05432062553365,18.300000012,0.0,1339.5600017568001,139314.2401827072,4728.646767354265
492,2024-01-26 23:00:00+00:00,B,26,18,1,6,-0.300000012,97,3.529999971,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,-0.781831482,0.623489802,0,0,37,251,0,153.902996,113.1237862,108.93943937178693,18.300000012,0.0,1339.5600017568001,49563.7200650016,4728.646767354265
493,2024-01-27 00:00:00+00:00,B,26,19,1,6,-0.5,98,4.119999886,0.0,0.0,-0.965925826,0.258819045,0.5,0.866025404,-0.781831482,0.623489802,0,0,37,251,0,134.702322,153.902996,106.18796733610402,18.5,0.0,1369.0,50653.0,5640.2798439339995
1674,2024-01-27 03:00:00+00:00,C,26,22,1,6,0.200000003,97,2.549999952,0.0,0.0,-0.5,0.866025404,0.5,0.866025404,-0.781831482,0.623489802,0,0,98,631,0,207.3512656,347.6450568,321.88091243332406,17.799999997,0.0,1267.3599995728,124201.2799581344,3231.7679380773598
494,2024-01-27 05:00:00+00:00,B,27,0,1,7,0.100000001,95,2.930000067,0.0,0.0,0.0,1.0,0.5,0.866025404,-2.45e-16,1.0,1,0,35,244,0,101.1663094,134.702322,103.39891124657652,17.899999999,0.0,1281.6399998567997,44857.39999498799,3755.205285450303
1675,2024-01-27 06:00:00+00:00,C,27,1,1,7,0.100000001,97,3.160000086,0.0,0.0,0.258819045,0.965925826,0.5,0.866025404,-2.45e-16,1.0,1,0,97,627,0,168.0687488,207.3512656,309.1750224660611,17.899999999,0.0,1281.6399998567997,124319.07998610957,4049.982509768527
495,2024-01-27 06:00:00+00:00,B,27,1,1,7,0.100000001,97,3.160000086,0.0,0.0,0.258819045,0.965925826,0.5,0.866025404,-2.45e-16,1.0,1,0,36,248,0,78.71762472,101.1663094,102.50654355913412,17.899999999,0.0,1281.6399998567997,46139.03999484479,4049.982509768527
1676,2024-01-27 09:00:00+00:00,C,27,4,1,7,-1.0,98,2.339999914,0.0,0.0,0.866025404,0.5,0.5,0.866025404,-2.45e-16,1.0,1,0,103,652,0,178.3562645,168.0687488,290.59910586217194,19.0,0.0,1444.0,148732.0,3378.9598758159996
496,2024-01-27 09:00:00+00:00,B,27,4,1,7,-1.0,98,2.339999914,0.0,0.0,0.866025404,0.5,0.5,0.866025404,-2.45e-16,1.0,1,0,37,253,0,83.23214294,78.71762472,102.00836516085333,19.0,0.0,1444.0,53428.0,3378.9598758159996
1677,2024-01-27 10:00:00+00:00,C,27,5,1,7,-1.700000048,98,2.859999895,0.0,0.0,0.965925826,0.258819045,0.5,0.866025404,-2.45e-16,1.0,1,0,103,652,0,186.1356346,178.3562645,303.45340351631444,19.700000048,0.0,1552.3600075648,159893.0807791744,4439.749458637528
1678,2024-01-27 11:00:00+00:00,C,27,6,1,7,-2.0,96,2.299999952,0.0,0.0,1.0,6.12e-17,0.5,0.866025404,-2.45e-16,1.0,1,0,103,652,0,265.8401028,186.1356346,301.8803229895234,20.0,0.0,1600.0,164800.0,3679.9999231999996
497,2024-01-27 12:00:00+00:00,B,27,7,1,7,-1.200000048,95,1.669999957,0.0,0.0,0.965925826,-0.258819045,0.5,0.866025404,-2.45e-16,1.0,1,0,37,251,0,129.3701105,83.23214294,104.67173012586728,19.200000048,0.0,1474.5600073727999,54558.720272793595,2462.515148906495
1679,2024-01-27 13:00:00+00:00,C,27,8,1,7,-0.899999976,92,2.539999962,0.0,62.0,0.866025404,-0.5,0.5,0.866025404,-2.45e-16,1.0,1,0,104,656,0,321.615317,265.8401028,296.42272827796944,18.899999976,0.0,1428.8399963712,148599.3596226048,3629.253536486928
1680,2024-01-27 14:00:00+00:00,C,27,9,1,7,-1.0,91,2.130000114,0.0,86.0,0.707106781,-0.707106781,0.5,0.866025404,-2.45e-16,1.0,1,0,104,656,0,327.7675519,321.615317,288.85130685575564,19.0,0.0,1444.0,150176.0,3075.720164616
498,2024-01-27 14:00:00+00:00,B,27,9,1,7,-1.0,91,2.130000114,0.0,86.0,0.707106781,-0.707106781,0.5,0.866025404,-2.45e-16,1.0,1,0,37,251,0,129.1839966,129.3701105,106.99005347305722,19.0,0.0,1444.0,53428.0,3075.720164616
1681,2024-01-27 15:00:00+00:00,C,27,10,1,7,-0.800000012,91,2.0,0.0,110.0,0.5,-0.866025404,0.5,0.866025404,-2.45e-16,1.0,1,0,104,656,0,341.8513902,327.7675519,285.71707048176194,18.800000012,0.0,1413.7600018048004,147031.04018769923,2827.5200036096007
1682,2024-01-27 17:00:00+00:00,C,27,12,1,7,-0.200000003,88,0.879999995,0.0,170.0,1.22e-16,-1.0,0.5,0.866025404,-2.45e-16,1.0,1,0,104,656,0,291.8323919,341.8513902,280.8420707158362,18.200000003,0.0,1324.9600004367999,137795.84004542718,1165.964793759584
499,2024-01-27 20:00:00+00:00,B,27,15,1,7,0.800000012,88,1.00999999,0.0,90.0,-0.707106781,-0.707106781,0.5,0.866025404,-2.45e-16,1.0,1,0,37,251,0,116.2675156,129.1839966,111.30780617496565,17.199999988,0.0,1183.3599983487998,43784.31993890559,1195.1935864986879
1683,2024-01-27 21:00:00+00:00,C,27,16,1,7,0.699999988,87,0.930000007,0.0,62.0,-0.866025404,-0.5,0.5,0.866025404,-2.45e-16,1.0,1,0,104,656,0,317.0647419,291.8323919,261.48549280011946,17.300000012,0.0,1197.1600016608002,124504.64017272322,1113.3588099246642
1684,2024-01-27 23:00:00+00:00,C,27,18,1,7,0.400000006,94,1.080000043,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,-2.45e-16,1.0,1,0,104,656,0,312.2624602,317.0647419,238.07615662847442,17.599999994,0.0,1239.0399991552001,128860.1599121408,1338.163252366336
500,2024-01-27 23:00:00+00:00,B,27,18,1,7,0.400000006,94,1.080000043,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,-2.45e-16,1.0,1,0,37,251,0,130.8867168,116.2675156,113.23046088892609,17.599999994,0.0,1239.0399991552001,45844.4799687424,1338.163252366336
1685,2024-01-28 09:00:00+00:00,C,28,4,1,1,0.200000003,99,1.820000052,0.0,0.0,0.866025404,0.5,0.5,0.866025404,0.781831482,0.623489802,1,0,104,656,0,171.3707195,312.2624602,226.89824766467063,17.799999997,0.0,1267.3599995728,131805.4399555712,2306.595265125216
501,2024-01-28 09:00:00+00:00,B,28,4,1,1,0.200000003,99,1.820000052,0.0,0.0,0.866025404,0.5,0.5,0.866025404,0.781831482,0.623489802,1,0,38,256,0,83.30054392,130.8867168,118.68430131526354,17.799999997,0.0,1267.3599995728,48159.6799837664,2306.595265125216
1686,2024-01-28 13:00:00+00:00,C,28,8,1,1,-0.300000012,99,0.75,0.0,58.0,0.866025404,-0.5,0.5,0.866025404,0.781831482,0.623489802,1,0,104,656,0,295.0010746,171.3707195,248.94389387136084,18.300000012,0.0,1339.5600017568001,139314.2401827072,1004.6700013176
502,2024-01-28 16:00:00+00:00,B,28,11,1,1,0.5,95,0.930000007,0.0,173.0,0.258819045,-0.965925826,0.5,0.866025404,0.781831482,0.623489802,1,0,38,256,0,115.1890759,83.30054392,107.63883216513949,17.5,0.0,1225.0,46550.0,1139.250008575
1687,2024-01-28 19:00:00+00:00,C,28,14,1,1,1.5,91,2.829999924,0.0,301.0,-0.5,-0.866025404,0.5,0.866025404,0.781831482,0.623489802,1,0,104,656,0,282.8139006,295.0010746,283.94634255903657,16.5,0.0,1089.0,113256.0,3081.869917236
1688,2024-01-28 20:00:00+00:00,C,28,15,1,1,1.600000024,88,2.210000038,0.0,97.0,-0.707106781,-0.707106781,0.5,0.866025404,0.781831482,0.623489802,1,0,104,656,0,271.5507608,282.8139006,290.59273796674097,16.399999976,0.0,1075.8399968512,111887.3596725248,2377.606433923072
1689,2024-01-28 22:00:00+00:00,C,28,17,1,1,1.100000024,87,1.950000048,0.0,0.0,-0.965925826,-0.258819045,0.5,0.866025404,0.781831482,0.623489802,1,0,104,656,0,333.7678474,271.5507608,299.7628425698823,16.899999976,0.0,1142.4399967552001,118813.75966254082,2227.75804850976
503,2024-01-29 03:00:00+00:00,B,28,22,1,1,0.400000006,92,3.089999914,0.0,0.0,-0.5,0.866025404,0.5,0.866025404,0.781831482,0.623489802,1,0,38,256,0,99.63162974,115.1890759,115.22122521075549,17.599999994,0.0,1239.0399991552001,47083.519967897606,3828.6334908321282
1690,2024-01-29 05:00:00+00:00,C,29,0,1,2,-0.300000012,88,3.380000114,0.0,0.0,0.0,1.0,0.5,0.866025404,0.974927912,-0.222520934,0,0,104,656,0,160.8531818,333.7678474,297.9751805965311,18.300000012,0.0,1339.5600017568001,139314.2401827072,4527.712958647825
1691,2024-01-29 06:00:00+00:00,C,29,1,1,2,0.0,81,4.010000229,0.0,0.0,0.258819045,0.965925826,0.5,0.866025404,0.974927912,-0.222520934,0,0,104,656,0,165.9754111,160.8531818,295.41669989145123,18.0,0.0,1296.0,134784.0,5196.960296784
1692,2024-01-29 07:00:00+00:00,C,29,2,1,2,-0.200000003,87,3.839999914,0.0,0.0,0.5,0.866025404,0.5,0.866025404,0.974927912,-0.222520934,0,0,104,656,0,164.0746876,165.9754111,288.1760416586325,18.200000003,0.0,1324.9600004367999,137795.84004542718,5087.846287730751
1693,2024-01-29 11:00:00+00:00,C,29,6,1,2,-0.800000012,84,4.019999981,0.0,0.0,1.0,6.12e-17,0.5,0.866025404,0.974927912,-0.222520934,0,0,104,656,0,304.8230974,164.0746876,264.39000457849926,18.800000012,0.0,1413.7600018048004,147031.04018769923,5683.315180393857
1694,2024-01-29 18:00:00+00:00,C,29,13,1,2,-1.799999952,80,3.970000029,0.0,131.0,-0.258819045,-0.965925826,0.5,0.866025404,0.974927912,-0.222520934,0,0,104,656,0,265.6899988,304.8230974,262.1492357637521,19.799999952,0.0,1568.1599923968001,163088.63920926722,6225.595215291936
504,2024-01-29 18:00:00+00:00,B,29,13,1,2,-1.799999952,80,3.970000029,0.0,131.0,-0.258819045,-0.965925826,0.5,0.866025404,0.974927912,-0.222520934,0,0,38,256,0,93.16034618,99.63162974,105.79753677611315,19.799999952,0.0,1568.1599923968001,59590.079711078404,6225.595215291936
1695,2024-01-29 19:00:00+00:00,C,29,14,1,2,-2.0,83,4.150000095,0.0,117.0,-0.5,-0.866025404,0.5,0.866025404,0.974927912,-0.222520934,0,0,104,656,0,252.3408167,265.6899988,258.84417247049277,20.0,0.0,1600.0,166400.0,6640.0001520000005
505,2024-01-29 19:00:00+00:00,B,29,14,1,2,-2.0,83,4.150000095,0.0,117.0,-0.5,-0.866025404,0.5,0.866025404,0.974927912,-0.222520934,0,0,38,256,0,92.98712267,93.16034618,105.18338343035926,20.0,0.0,1600.0,60800.0,6640.0001520000005
506,2024-01-29 20:00:00+00:00,B,29,15,1,2,-2.0,75,3.369999886,0.0,137.0,-0.707106781,-0.707106781,0.5,0.866025404,0.974927912,-0.222520934,0,0,38,256,0,96.89392582,92.98712267,104.63857185064884,20.0,0.0,1600.0,60800.0,5391.9998176
507,2024-01-29 21:00:00+00:00,B,29,16,1,2,-2.099999905,78,3.319999933,0.0,82.0,-0.866025404,-0.5,0.5,0.866025404,0.974927912,-0.222520934,0,0,38,256,0,116.4418399,96.89392582,100.63952223853771,20.099999905,0.0,1616.039984724,61409.519419512006,5365.252641009001
508,2024-01-30 00:00:00+00:00,B,29,19,1,2,-3.400000095,83,2.309999943,0.0,0.0,-0.965925826,0.258819045,0.5,0.866025404,0.974927912,-0.222520934,0,0,36,247,0,150.2314666,116.4418399,97.95910560462242,21.400000095,0.0,1831.8400162639998,65946.240585504,4231.550333154958
1696,2024-01-30 01:00:00+00:00,C,29,20,1,2,-2.900000095,82,1.870000005,0.0,0.0,-0.866025404,0.5,0.5,0.866025404,0.974927912,-0.222520934,0,0,104,656,0,342.4414342,252.3408167,226.1147425104928,20.900000095,0.0,1747.2400158839998,181712.96165193597,3267.3388384392797
509,2024-01-30 02:00:00+00:00,B,29,21,1,2,-2.599999905,82,1.309999943,0.0,0.0,-0.707106781,0.707106781,0.5,0.866025404,0.974927912,-0.222520934,0,0,37,251,0,133.7067432,150.2314666,100.71863945643008,20.599999905,0.0,1697.439984344,62805.279420728,2223.646282736561
1697,2024-01-30 03:00:00+00:00,C,29,22,1,2,-2.900000095,82,2.099999905,0.0,0.0,-0.5,0.866025404,0.5,0.866025404,0.974927912,-0.222520934,0,0,104,656,0,261.6100994,342.4414342,223.49436574743658,20.900000095,0.0,1747.2400158839998,181712.96165193597,3669.203867368598
510,2024-01-30 04:00:00+00:00,B,29,23,1,2,-3.5,78,3.039999962,0.0,0.0,-0.258819045,0.965925826,0.5,0.866025404,0.974927912,-0.222520934,0,0,38,256,0,104.5348895,133.7067432,102.66434207950418,21.5,0.0,1849.0,70262.0,5620.959929738
1698,2024-01-30 07:00:00+00:00,C,30,2,1,3,-6.199999809,82,3.569999933,0.0,0.0,0.5,0.866025404,0.5,0.866025404,0.433883739,-0.900968868,0,0,104,656,0,301.9500514,261.6100994,219.9162493194281,24.199999809,0.0,2342.5599630224006,243626.23615432967,8362.938911038453
1699,2024-01-30 08:00:00+00:00,C,30,3,1,3,-6.599999905,83,4.599999905,0.0,0.0,0.707106781,0.707106781,0.5,0.866025404,0.433883739,-0.900968868,0,0,104,656,0,301.8278913,301.9500514,223.9164473493178,24.599999905,0.0,2420.6399813040002,251746.558055616,11134.943684037602
511,2024-01-30 08:00:00+00:00,B,30,3,1,3,-6.599999905,83,4.599999905,0.0,0.0,0.707106781,0.707106781,0.5,0.866025404,0.433883739,-0.900968868,0,0,38,256,0,107.0040936,104.5348895,104.99651893229122,24.599999905,0.0,2420.6399813040002,91984.319289552,11134.943684037602
1700,2024-01-30 09:00:00+00:00,C,30,4,1,3,-7.5,79,4.989999771,0.0,0.0,0.866025404,0.5,0.5,0.866025404,0.433883739,-0.900968868,0,0,104,656,0,469.0929566,301.8278913,227.85517001437785,25.5,0.0,2601.0,270504.0,12978.989404371
512,2024-01-30 09:00:00+00:00,B,30,4,1,3,-7.5,79,4.989999771,0.0,0.0,0.866025404,0.5,0.5,0.866025404,0.433883739,-0.900968868,0,0,38,256,0,178.5232286,107.0040936,107.28164811795486,25.5,0.0,2601.0,98838.0,12978.989404371
1701,2024-01-30 10:00:00+00:00,C,30,5,1,3,-8.0,84,5.519999981,0.0,0.0,0.965925826,0.258819045,0.5,0.866025404,0.433883739,-0.900968868,0,0,104,656,0,434.0425561,469.0929566,253.51861955674798,26.0,0.0,2704.0,281216.0,14926.079948624
1702,2024-01-30 11:00:00+00:00,C,30,6,1,3,-8.899999619,79,4.349999905,0.0,0.0,1.0,6.12e-17,0.5,0.866025404,0.433883739,-0.900968868,0,0,103,652,1,161.0707256,434.0425561,259.912256570458,26.899999619,0.0,2894.4399180088003,298127.3115549064,12590.81336836649
1703,2024-01-30 12:00:00+00:00,C,30,7,1,3,-10.19999981,82,4.400000095,0.0,0.0,0.965925826,-0.258819045,0.5,0.866025404,0.433883739,-0.900968868,0,0,103,652,1,142.301489,161.0707256,265.00604683794575,28.19999981,0.0,3180.9599571360004,327638.87558500806,13996.224113589598
1704,2024-01-30 14:00:00+00:00,C,30,9,1,3,-10.30000019,73,3.50999999,0.0,167.0,0.707106781,-0.707106781,0.5,0.866025404,0.433883739,-0.900968868,0,0,103,652,1,145.4069845,142.301489,275.08887976897523,28.30000019,0.0,3203.560043016,329966.684430648,11244.495718950559
513,2024-01-30 14:00:00+00:00,B,30,9,1,3,-10.30000019,73,3.50999999,0.0,167.0,0.707106781,-0.707106781,0.5,0.866025404,0.433883739,-0.900968868,0,0,38,256,1,53.97837758,178.5232286,116.42882914689726,28.30000019,0.0,3203.560043016,121735.28163460799,11244.495718950559
1705,2024-01-30 15:00:00+00:00,C,30,10,1,3,-10.30000019,68,3.309999943,0.0,318.0,0.5,-0.866025404,0.5,0.866025404,0.433883739,-0.900968868,0,0,104,656,0,305.9744391,145.4069845,282.807585006024,28.30000019,0.0,3203.560043016,333170.244473664,10603.783559780037
514,2024-01-30 16:00:00+00:00,B,30,11,1,3,-9.399999619,78,4.110000134,0.0,398.0,0.258819045,-0.965925826,0.5,0.866025404,0.433883739,-0.900968868,0,0,38,256,0,130.9964466,53.97837758,119.13175388883653,27.399999619,0.0,3003.0399164848004,114115.51682642242,12342.494459159878
